_id,ltable_Id,rtable_Id,ltable_Site name,ltable_Address,ltable_Zip,ltable_Phone,rtable_Site name,rtable_Address,rtable_Zip,rtable_Phone,label
14979,2726,1660, Pirie,650 E. 85Th St ,60619,5353435,EL VALOR CHICAGO PRE-SCHOOL ACADEMY,532 E 87TH ST ,60619,4884495,0
15251,827,167, Abraham Lincoln Centre - Lincoln - Roseland,7 E 119th St ,,2647632, Abraham Lincoln Centre - Lincoln - Roseland,7 E 119th St ,,2647632,1
15491,3025,3055, Abraham Lincoln Centre,7 E 119th Street ,60628,2647633, Bunnyland Developmental Day Care Center,545 W 119th Street ,60628,5685200,0
15750,2819,440, UIC Children's Cent I East,728 W. Roosevelt Rd ,60607,4135331, UIC Children?s Center I - East,728 W. Roosevelt (m/c 050) Rm. 287 ,,4135331,1
15751,2819,2819, UIC Children's Cent I East,728 W. Roosevelt Rd ,60607,4135331, UIC Children's Cent I East,728 W. Roosevelt Rd ,60607,4135331,1
16145,443,443, Chicago Commons NIA,744 N. Monticello ,,8264259, Chicago Commons NIA,744 N. Monticello ,,8264259,1
17134,2740,2607, Reavis (Blended),834 E. 50Th St. ,60615,5351060, Kozminski Com Acad,936 E. 54th St. ,60615,5350980,0
17172,1609,3148,CHICAGO YOUTH CENTERS FELLOWSHIP HOUSE,844 W 32ND ST ,60608,3262282, Fellowship House Day Care Center,844 W 32nd Street ,60608,3262282,1
17448,1868,2017,SALVATION ARMY FAMILY OUTREACH INITIATIVE (SAL ARMY,845 W 69TH STREET ,60621,8324716,"Chicago Public Schools Hinton, William Augustus",644 W. 71st Street ,60621,5353875,0
17721,2420,2420, Christopher House Lakeshore,850 W. Eastwood ,60640,2719403, Christopher House Lakeshore,850 W. Eastwood ,60640,2719403,1
17803,3118,3163, Christopher House - Lakeshore,850 W Eastwood Avenue ,60640,2719403, Harry S. Truman College Child Development Center,1145 W Wilson Avenue ,60640,9074740,0
17879,1600,1660,CHICAGO STATE UNIVERSITY SHINING STAR EARLY LEARNING ACADEMY - II,854 E 79TH ST ,60619,4191994,EL VALOR CHICAGO PRE-SCHOOL ACADEMY,532 E 87TH ST ,60619,4884495,0
17944,2092,2577,Chicago State University Shining Star Early Learning Academy - II,854 E 79th St ,60619,4191994, Hull House - Parkway,500 E. 67th St. ,60619,4931306,0
17957,2092,1600,Chicago State University Shining Star Early Learning Academy - II,854 E 79th St ,60619,4191994,CHICAGO STATE UNIVERSITY SHINING STAR EARLY LEARNING ACADEMY - II,854 E 79TH ST ,60619,4191994,1
17965,2092,1546,Chicago State University Shining Star Early Learning Academy - II,854 E 79th St ,60619,4191994,"CHICAGO PUBLIC SCHOOLS MCDOWELL, MARY E.",1419 E 89TH ST ,60619,5356404,0
18241,3310,911, Wheatley,902 E 133rd Place ,60627,5355718, Wheatley CPC,902 E. 133rd Pl ,,5355718,1
19450,471,3076, Centers for New Horizons Altgeld Gardens I,941 E. 132nd Street ,,4683055, Centers for New Horizons - Altgeld,941 E 132nd Street ,60827,4683055,0
19460,886,2377, Centers For New Horizons - Altgeld Gardens I,941 E 132nd Pl ,,4683055, Centers For New Horizons Altgeld,941 E. 132nd St ,60627,4683055,1
19646,1876,2262,SALVATION ARMY RED SHIELD,945 W 69TH STREET ,60621,3583224,Salvation Army FAMILY OUTREACH INITIATIVE (SAL ARMY,845 W. 69th St. ,60621,8324716,0
19902,2843,1602, Woodlawn EC Development Ctr I/T,950 E 61st St ,60637,6673300,CHICAGO STATE UNIVERSITY THE LOVE LEARNING CENTER,228 E 61ST ST ,60637,7520243,0
20198,3184,2331, JCYS Lakeview Family Center,957 W Grace Street ,60613,2812533, Blaine,1420 W. Grace ,60613,5345750,0
20611,2849,1484, YMCA Duncan,1001 W. Roosevelt Rd ,60608,7385443,"CHICAGO PUBLIC SCHOOLS CHALMERS, THOMAS",2745 W ROOSEVELT ,60608,5341720,0
21686,2870,2718, Albany Park Community Center - Uptown,1020 West Bryn Mawr 211 ,60660,7693197, Peirce,1423 W. Bryn Mawr ,60660,5342440,0
22884,3323,1163, Marcy Newberry Association,1073 W Maxwell Street ,60608,8297555, Marcy Newberry Association - Newberry Center,1073 W Maxwell St ,,8297555,1
22890,3323,1563, Marcy Newberry Association,1073 W Maxwell Street ,60608,8297555,"CHICAGO PUBLIC SCHOOLS PEREZ, MANUEL",1241 W 19TH STREET ,60608,5347650,0
22991,225,3068, Catholic Charities - Cordi-Marian,1100 S. May Street ,,6663787, Catholic Charities Chicago - Cordi-Marian,1100 S May Street ,60607,6663787,1
23080,2902,15, Cordi Marian Center,1100 South May  ,60607,6663787, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,1
23357,3230,3230, McKinney's Home Day Care Center,1109 N Laramie Avenue ,60651,3791685, McKinney's Home Day Care Center,1109 N Laramie Avenue ,60651,3791685,1
24017,2258,2262,Salvation Army Building Blocks,1120 W 69th St. ,60621,4882222,Salvation Army FAMILY OUTREACH INITIATIVE (SAL ARMY,845 W. 69th St. ,60621,8324716,0
24901,1612,3153,CHICAGO YOUTH CENTERS LOTTS OF LOVE,1139 W 79TH ST ,60620,8744954, First Church of Love and Faith,2140 W 79th Street ,60620,8739155,0
24958,2103,1612,Chicago Youth Centers Lotts of Love,1139 W. 79th St. ,60620,8744954,CHICAGO YOUTH CENTERS LOTTS OF LOVE,1139 W 79TH ST ,60620,8744954,1
26008,2057,3140,"Chicago Public Schools Perez, Manuel",1241 W. 19th Street ,60608,5347650, El Valor Guadalupe Reyes,1951 W 19th Street ,60608,9972021,0
26042,2720,1609, Perez,1241 W. 19Th St. ,60608,5347650,CHICAGO YOUTH CENTERS FELLOWSHIP HOUSE,844 W 32ND ST ,60608,3262282,0
26368,3098,1942, Chicago Urban Day School,1248 W 69th Street ,60636,4833555,"Chicago Commons
Association Chicago Urban Daycare",1248 W 69th St ,60636,4833555,1
27005,481,28, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,1
27018,548,27, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,1
27054,1166,1167, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,1
27071,1167,1816, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,MARCY NEWBERRY ASSOCIATION FOSCO,1312 S RACINE ,60608,7466024,1
27555,893,893, Henson,1326 S. Avers Ave ,,5341804, Henson,1326 S. Avers Ave ,,5341804,1
27919,242,2788, St. Augustine College - Canillitas,1333-45 W. Argyle ,,8783231, St Augustine College - Canillatas,1333-45 W. Argyle ,60640,8783231,1
29784,560,896, Herzl CPC,1401 S. Hamlin ,,5341751, Herzl CPC,1401 S. Hamlin ,,5341751,1
29819,2563,895, Herzl (CPC),1401 S. Hamlin ,60623,5341751, Herzl CPC,1401 S. Hamlin ,,5341751,1
29835,2563,3101, Herzl (CPC),1401 S. Hamlin ,60623,5341751, Chicago Youth Centers - BBR Youth Center,1530 S Hamlin Avenue ,60623,7621140,0
30035,3306,3306, Herzl CPC,1401 S Hamlin Avenue ,60623,5341751, Herzl CPC,1401 S Hamlin Avenue ,60623,5341751,1
30273,562,2202, Henry Booth House - Taylor Day School,1414 W 87th St ,,2392322,Henry Booth House Little Hands and Feet II (87th),1414 W 87TH St. ,60620,2392322,0
30285,1754,1754,HENRY BOOTH HOUSE LITTLE HANDS AND FEET II (87TH),1414 W 87TH STREET ,60620,2392322,HENRY BOOTH HOUSE LITTLE HANDS AND FEET II (87TH),1414 W 87TH STREET ,60620,2392322,1
30675,2652,1610, McDowell,1419 E. 89th St. ,60619,5356404,CHICAGO YOUTH CENTERS JUST LIKE HOME,301 E 79TH ST ,60619,7830955,0
30783,1566,3323,CHICAGO PUBLIC SCHOOLS PILSEN COMM. ACADEMY,1420 W 17TH STREET ,60608,5347675, Marcy Newberry Association,1073 W Maxwell Street ,60608,8297555,1
30877,2060,1563,Chicago Public Schools Pilsen Comm. Academy,1420 W. 17th Street ,60608,5347675,"CHICAGO PUBLIC SCHOOLS PEREZ, MANUEL",1241 W 19TH STREET ,60608,5347650,0
32167,2437,1869," Colemon, Johnnie",1441 W. 119th St. ,60643,5353975,SALVATION ARMY FCCH-ALLIE WINFIELD,1312 W 95TH ST ,60643,2382079,0
32234,1560,2716,"CHICAGO PUBLIC SCHOOLS PEABODY, ELIZABETH",1444 W AUGUSTA BLVD ,60622,5344170, Peabody,1444 W. Augusta ,60622,5344170,1
32594,1240,571, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,1
32603,1241,32, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,0
32605,1241,570, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,1
32958,2374,3242, Catholic Charities-Our Lady of Lourdes I/T,1449 S. Keeler ,60623,5213126, Our Lady of Lourdes Early Childhood Center,1449 S Keeler Avenue ,60623,5213126,1
33776,1613,3105,CHICAGO YOUTH CENTERS MT. MORIAH-TAYLOR,1501 N HARDING ,60651,2785837, Chicago Youth Centers - Mt. Moriah-Taylor,1501 N Harding Avenue ,60651,2785837,1
34070,3105,35, Chicago Youth Centers - Mt. Moriah-Taylor,1501 N Harding Avenue ,60651,2785837, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,1
34342,1813,1813,MARCY NEWBERRY ASSOCIATION FCCH-MELVIN TURNER,1508 W MONITOR ,60651,,MARCY NEWBERRY ASSOCIATION FCCH-MELVIN TURNER,1508 W MONITOR ,60651,,1
35042,36,1172, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,1
35061,577,577, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,1
35094,1172,3222, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300, Marcy Newberry Association - Marcy Center,1539 S Springfield Avenue ,60623,7612300,1
35136,1820,3222,MARCY NEWBERRY ASSOCIATION MARCY CENTER,1539 S SPRINGFIELD ,60623,7622300, Marcy Newberry Association - Marcy Center,1539 S Springfield Avenue ,60623,7612300,1
35235,2234,1820,Marcy Newberry Association Marcy Center,1539 S. Springfield ,60623,7622300,MARCY NEWBERRY ASSOCIATION MARCY CENTER,1539 S SPRINGFIELD ,60623,7622300,1
35629,38,2241, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,Mary Crane League Mary Crane Center (Morse),1545 W. Morse ,60626,2621390,1
35796,2267,1878,Salvation Army Teen Parenting Program,1548 W Adams ,60607,4210327,SALVATION ARMY TEEN PARENTING PROGRAM,1548 W ADAMS ,60607,4210327,1
36714,2443,2083, Cooper,1624 W. 19Th St. ,60608,5347205,"Chicago Public Schools Whittier, John Greenleaf",1900 W. 23rd St ,60608,5354590,0
37125,3264,3264, South Shore Bible Baptist Church Marantha,1631 E 71st Street ,60649,4937500, South Shore Bible Baptist Church Marantha,1631 E 71st Street ,60649,4937500,1
37173,3330,1766, Salvation Army,1631 E 71st Street ,60649,4937500,HENRY BOOTH HOUSE PRODIGY CHILD LEARNING CENTER,1921 E 79TH STREET ,60649,2213100,0
37207,959,959, Prescott,1632 W. Wrightwood ,,5345505, Prescott,1632 W. Wrightwood ,,5345505,1
37498,2889,585, Chicago Commons Taylor Center for New Experiences,1633 North Hamlin Avenue  ,60647,2278551, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,1
37913,3069,3160, Catholic Charities Chicago - Ebenezer,1652 W Foster Avenue ,60640,8789925, Greenview Children's Center,1507 W Sunnyside Avenue ,60640,7281777,0
38312,2397,2397, Chicago Commons PauloFreire,1653 W. 43rd St ,60609,8266260, Chicago Commons PauloFreire,1653 W. 43rd St ,60609,8266260,1
38392,2968,2916, Paulo Freire Center,1653 West 43rd Street Building ,60609,8266260, Firman Community Services,37 West 47th Street  ,60609,3733400,0
38758,589,2496, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800, Erie House I/T,1701 W. Superior ,60622,5635800,1
38770,1174,2496, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800, Erie House I/T,1701 W. Superior ,60622,5635800,1
38776,1246,589, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,1
39423,1466,1960,CHICAGO COMMONS ASSOCIATION TOTS EXPRESS LEARNING CENTER,1705 E 87TH ST ,60617,7218687,"Chicago Commons
Association Tots Express Learning Center",1705 E 87th St ,60617,7218687,1
39438,1466,2829,CHICAGO COMMONS ASSOCIATION TOTS EXPRESS LEARNING CENTER,1705 E 87TH ST ,60617,7218687, Washington G.,3611 E. 114Th St. ,60617,5355010,0
40436,2488,3316, El Hogar New Loomis,1718 S. Loomis ,60608,5630662, El Hogar Del Nino,1718 S Loomis Street ,60608,5639796,1
40881,596,262, El Valor - Little Tykes II,1723 W 35th St ,,5791791, Kiddy Kare Preschools Little Tykes II,1723 W. 35th Street ,,5791791,1
40915,1669,596,EL VALOR LITTLE TYKES II,1723 W 35TH STREET ,60609,5791791, El Valor - Little Tykes II,1723 W 35th St ,,5791791,1
41011,2153,50,El Valor Little Tykes II,1723 W. 35th Street ,60609,5791791, El Valor - Little Tykes II,1723 W 35th St ,,5791791,1
41630,2024,598,"Chicago Public Schools Jungman, Joseph",1746 S. Miller ,60608,5347375, Jungman,1746 S. Miller ,,5347375,1
41868,3214,1804, Lutheran Social Services - Rogers Park,1754 W Devon Avenue ,60660,6354600,LUTHERAN SOCIAL SERVICES OF ILLINOIS ROGERS PARK,1754 W DEVON ,60660,6354600,1
42190,265,2942, Lutheran Day Nursery,1802 N. Fairfield ,,4864222, Lutheran Day Nursery,1802 North Fairfield  ,60647,4864222,1
42342,3210,265, Lutheran Day Nursery School,1802 N Fairfield Avenue ,60647,4864222, Lutheran Day Nursery,1802 N. Fairfield ,,4864222,1
42374,3210,3122, Lutheran Day Nursery School,1802 N Fairfield Avenue ,60647,4864222, Christopher House Logan Square,2610 N Francisco Avenue ,60647,2354073,0
42401,53,266, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883, Chicago Commons Guadalupano,1814 S. Paulina ,,6663883,1
42412,54,53, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,1
42479,1176,266, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883, Chicago Commons Guadalupano,1814 S. Paulina ,,6663883,1
42560,1453,1175,CHICAGO COMMONS ASSOCIATION GUADALUPANO FAMILY CENTER,1814 S PAULINA ,60608,6663883, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,1
42753,2887,2887, Chicago Commons Guadalupano Family Center,1814 South Paulina  ,60608,6663884, Chicago Commons Guadalupano Family Center,1814 South Paulina  ,60608,6663884,1
42912,1947,1248,"Chicago Commons
Association Guadalupano Family Center",1814 S. Paulina ,60639,6663883, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,1
42994,1840,1521,NORTH AVENUE DAY NURSERY FCCH-EMMA TURNER,1815 W MONROE ,60612,,"CHICAGO PUBLIC SCHOOLS HERBERT, VICTOR",2131 W MONROE ,60612,5347806,0
43129,268,1249, YMCA McCormick Tribune Preschool,1834 N. Lawndale ,,2352525, YMCA of Metropolitan Chicago - McCormick Tribune- YMCA,1834 N Lawndale Ave ,,2352525,1
43260,2286,2854,YMCA of Metropolitan Chicago McCormick Tribune,1834 N. Lawndale ,60647,2352525, YMCA McCormick Tribune,1834 N. Lawndale ,60647,2352525,1
44479,1589,2720,"CHICAGO PUBLIC SCHOOLS WHITTIER, JOHN GREENLEAF",1900 W 23RD ST ,60608,5354590, Perez,1241 W. 19Th St. ,60608,5347650,0
44598,2083,609,"Chicago Public Schools Whittier, John Greenleaf",1900 W. 23rd St ,60608,5354590, Whittier,1900 W. 23rd St. ,,5354590,1
44780,1407,2944,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO MALCOLM X COLLEGE,1900 W VAN BUREN ,60612,8507176, Malcolm X College Child Development Lab Center,1900 West Van Buren Street 1608 ,60612,8507490,1
44903,1925,270,"Board Trustees-City
Colleges of Chicago Malcolm X College",1900 W. Van Buren ,60612,8507176, City Colleges Malcolm X CDC,1900 W. Van Buren ,,8507176,1
45034,2428,1730, City Colleges Malcolm X,1900 W. VanBuren ,60612,8507176,HEKTOEN INSTITUTE EARLY HEAD START PROGRAM AT STROGER HOSPITAL,1900 W POLK ,60612,8646560,1
45280,1802,1802,LUTHERAN SOCIAL SERVICES OF ILLINOIS ENGLEWOOD MESSIAH,1910 W 64TH STREET ,60636,4365110,LUTHERAN SOCIAL SERVICES OF ILLINOIS ENGLEWOOD MESSIAH,1910 W 64TH STREET ,60636,4365110,1
45751,3157,2059, Gads Hill Center,1919 W Cullerton Street ,60608,2260963,"Chicago Public Schools Pickard, Josiah L.",2301 W. 21st Street ,60608,5357280,0
46515,2941,2205, Loop Learning Center,2001 South Michigan Avenue  ,60616,2258828,Henry Booth House Loop,2001 S Michigan ,60616,2258828,1
46538,2941,2875, Loop Learning Center,2001 South Michigan Avenue  ,60616,2258828, Bridgeport Child Development Center,3053 South Normal Avenue  ,60616,8425566,0
46553,60,3236, North Avenue Day Nursery - North Avenue Day Nursery,2001 W Pierce Ave ,,3424499, North Avenue Day Nursery,2001 W Pierce Street ,60622,3424499,1
46617,1250,2954, North Avenue Day Nursery - North Avenue Day Nursery,2001 W Pierce Ave ,,3424499, North Avenue Day Nursery,2001 West Pierce  ,60622,3424499,1
47122,3325,1250, North Avenue Day Nursery,2001 W Pierce Street ,60622,3424499, North Avenue Day Nursery - North Avenue Day Nursery,2001 W Pierce Ave ,,3424499,1
47609,61,1412, Carole Robertson Center For Learning - Carole Robertson Center CTR 2020,2020 W Roosevelt Rd ,,2437300,CAROLE ROBERTSON CENTER FOR LEARNING CAROLE ROBERTSON CENTER-2020,2020 W ROOSEVELT RD ,60608,2437300,1
47734,1412,2849,CAROLE ROBERTSON CENTER FOR LEARNING CAROLE ROBERTSON CENTER-2020,2020 W ROOSEVELT RD ,60608,2437300, YMCA Duncan,1001 W. Roosevelt Rd ,60608,7385443,0
48549,2471,2471, Dorsey Developmental Institute,2050 E 93th St. ,60617,3754300, Dorsey Developmental Institute,2050 E 93th St. ,60617,3754300,1
48750,3051,3218, Boys & Girls Clubs of Chicago - James Jordan Club,2102 W Monroe Street ,60612,4324294, Malcolm X College,1900 W Van Buren Street ,60612,8507300,0
48760,3051,2562, Boys & Girls Clubs of Chicago - James Jordan Club,2102 W Monroe Street ,60612,4324294, Herbert,2131 W. Monroe ,60612,5347806,0
49078,1557,970,"CHICAGO PUBLIC SCHOOLS NIXON, WILLIAM P.",2121 N KEELER AVE ,60639,5344375, Nixon,2121 N. Keeler ,,5344375,1
49242,1414,3005,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-ARACELI BASILE,2124 N CENTRAL PARK AVE ,60647,5211600, Casa Central - APP Home Based Head Start,"2222 N. Kedzie Ave.
",60647,7828819,0
49326,2447,1782, Crown,2128 S. St. Louis Ave ,60623,5341680,HULL HOUSE ASSOCIATION FCCH-MONICA PIERCE,1644 S AVERS ST ,60623,2355342,0
49335,2447,2359, Crown,2128 S. St. Louis Ave ,60623,5341680, Cardenas Modular,2406 S. Central Park Ave ,60623,5341475,0
49668,2422,3123, Christopher House Palmer Sq,2140 N. Richmond ,60647,7728693, Christopher House Palmer Square,2140 N Richmond Street ,60647,9480010,1
49788,1707,623,FIRST CHURCH OF LOVE AND FAITH FIRST CHURCH OF LOVE AND FAITH,2140 W 79TH ST ,60620,8739155, First Church of Love And Faith - First Church of Love & Faith Church,2140 W 79th St ,,8739155,1
