_id,ltable_Id,rtable_Id,ltable_Site name,ltable_Address,ltable_Zip,ltable_Phone,rtable_Site name,rtable_Address,rtable_Zip,rtable_Phone
67,1162,1162, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
68,1162,1229, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
69,1162,1230, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
70,1229,6, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
71,1229,7, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
72,1229,515, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
73,1229,516, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
74,1229,1161, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
75,1229,1162, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
76,1229,1229, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
77,1229,1230, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
78,1230,6, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
79,1230,7, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
80,1230,515, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
81,1230,516, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
82,1230,1161, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
83,1230,1162, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
84,1230,1229, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
85,1230,1230, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115
86,517,517, Jenner,1009 N. Cleveland ,,5348440, Jenner,1009 N. Cleveland ,,5348440
87,517,1527, Jenner,1009 N. Cleveland ,,5348440,"CHICAGO PUBLIC SCHOOLS JENNER ACADEMY OF THE ARTS, EDWARD",1119 N CLEVELAND ,60610,5348440
88,517,2021, Jenner,1009 N. Cleveland ,,5348440,"Chicago Public Schools Jenner Academy of the Arts, Edward",1119 N. Cleveland ,60610,5348440
89,517,2585, Jenner,1009 N. Cleveland ,,5348440, Jenner,1119 N. Cleveland ,60610,5348440
90,221,221, Archdiocese of Chicago - St. Mary of the Lake,1026 W. Buena Ave. ,,2810018, Archdiocese of Chicago - St. Mary of the Lake,1026 W. Buena Ave. ,,2810018
92,9,9, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
93,9,10, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
94,9,478, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
95,9,479, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
97,10,9, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
98,10,10, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
99,10,478, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
100,10,479, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
102,478,9, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
103,478,10, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
104,478,478, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
105,478,479, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
107,479,9, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
108,479,10, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
109,479,478, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
110,479,479, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600
112,18,18, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433
113,18,1165, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433
114,18,1234, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433
118,18,1881, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,SOUTH EAST ASIA CENTER SOUTH EAST ASIA CENTER (AINSLIE),1134 W AINSLIE ,60640,9897433
119,18,2269, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,South East Asia Center South East Asia Center (Ainslie),1134 W. Ainslie ,60640,9897433
120,18,3262, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center,1134 W Ainslie Street ,60640,9897433
123,1165,18, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433
124,1165,1165, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433
125,1165,1234, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433
129,1165,1881, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,SOUTH EAST ASIA CENTER SOUTH EAST ASIA CENTER (AINSLIE),1134 W AINSLIE ,60640,9897433
130,1165,2269, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,South East Asia Center South East Asia Center (Ainslie),1134 W. Ainslie ,60640,9897433
131,1165,3262, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center,1134 W Ainslie Street ,60640,9897433
134,1234,18, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433
135,1234,1165, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433
136,1234,1234, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433
140,1234,1881, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,SOUTH EAST ASIA CENTER SOUTH EAST ASIA CENTER (AINSLIE),1134 W AINSLIE ,60640,9897433
141,1234,2269, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,South East Asia Center South East Asia Center (Ainslie),1134 W. Ainslie ,60640,9897433
142,1234,3262, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433, South East Asia Center,1134 W Ainslie Street ,60640,9897433
145,231,231, LEARN Charter School,1132 S. Homan ,,8266330, LEARN Charter School,1132 S. Homan ,,8266330
146,930,930, LaSalle/Andersen,1148 N. Honore ,,5344276, LaSalle/Andersen,1148 N. Honore ,,5344276
147,901,901, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
148,901,902, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
149,901,1314, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
150,901,1315, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
152,902,901, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
153,902,902, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
154,902,1314, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
155,902,1315, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
157,1314,901, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
158,1314,902, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
159,1314,1314, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
160,1314,1315, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
162,1315,901, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
163,1315,902, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
164,1315,1314, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
165,1315,1315, South Loop,1212 S. Plymouth ,,5348690, South Loop,1212 S. Plymouth ,,5348690
167,545,545, Carpenter,1250 W. Erie ,,5347385, Carpenter,1250 W. Erie ,,5347385
168,198,198, Joyner CPC,1315 S. Blue Island ,,5347903, Joyner CPC,1315 S. Blue Island ,,5347903
169,555,555, Altgeld,1340 W. 71St ,,5353250, Altgeld,1340 W. 71St ,,5353250
172,940,940, Schiller,1409 N. Ogden ,,5348126, Schiller,1409 N. Ogden ,,5348126
173,246,246, Taylor - Day School Inc.,1414 W. 87th St ,,2392322, Taylor - Day School Inc.,1414 W. 87th St ,,2392322
174,246,562, Taylor - Day School Inc.,1414 W. 87th St ,,2392322, Henry Booth House - Taylor Day School,1414 W 87th St ,,2392322
175,246,1754, Taylor - Day School Inc.,1414 W. 87th St ,,2392322,HENRY BOOTH HOUSE LITTLE HANDS AND FEET II (87TH),1414 W 87TH STREET ,60620,2392322
176,246,2202, Taylor - Day School Inc.,1414 W. 87th St ,,2392322,Henry Booth House Little Hands and Feet II (87th),1414 W 87TH St. ,60620,2392322
177,568,568, Lathrop,1440 S. Christiana ,,5341812, Lathrop,1440 S. Christiana ,,5341812
178,248,248, Passages Charter School,1447 W. Montrose ,,5491052, Passages Charter School,1447 W. Montrose ,,5491052
179,34,34, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699
180,34,573, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699
181,573,34, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699
182,573,573, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699
